GTIN,Item ID,Item Description,SOS Type,Vendor,Vendor Name,,Warehouse,,,,,"POG Publishing 
Date",,,POG Finalization Date,Forecaster,,,Replenisher Name,Store Number ,Store Division ,Store Activity,Retailer ID
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1705,JACKSONVILLE,Added,9371
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1719,MIAMI,Added,11051
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1734,LAKELAND,Added,9715
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1742,LAKELAND,Added,10694
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1784,JACKSONVILLE,Added,11798
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1807,JACKSONVILLE,Added,11890
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1821,LAKELAND,Added,11899
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1896,JACKSONVILLE,Added,14457
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,2023,JACKSONVILLE,Added,14570
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,0402,MIAMI,Dropped,4074
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,0648,LAKELAND,Added,6164
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,0735,JACKSONVILLE,Added,5796
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,0814,JACKSONVILLE,Added,3021
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,0857,JACKSONVILLE,Dropped,3187
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,0877,LAKELAND,Added,7708
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,0890,LAKELAND,Added,4762
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1042,JACKSONVILLE,Added,4777
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1135,LAKELAND,Added,10635
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1182,LAKELAND,Added,5761
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1192,JACKSONVILLE,Added,5858
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1196,LAKELAND,Added,5827
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1289,JACKSONVILLE,Added,5027
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1290,JACKSONVILLE,Added,5834
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1305,LAKELAND,Dropped,4797
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1306,JACKSONVILLE,Dropped,3002
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1351,JACKSONVILLE,Dropped,4806
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1365,JACKSONVILLE,Added,4809
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1376,JACKSONVILLE,Added,5856
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1401,JACKSONVILLE,Dropped,3194
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1437,JACKSONVILLE,Dropped,3315
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1448,JACKSONVILLE,Added,5782
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1530,JACKSONVILLE,Added,5756
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1600,LAKELAND,Dropped,8089
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1657,MIAMI,Dropped,14732
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1670,LAKELAND,Added,8931
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1709,JACKSONVILLE,Added,9947
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1723,LAKELAND,Added,11808
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1776,MIAMI,Dropped,11606
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1781,LAKELAND,Added,13381
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1784,JACKSONVILLE,Added,11798
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1800,MIAMI,Dropped,Dropped
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1820,JACKSONVILLE,Added,11888
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1829,JACKSONVILLE,Added,11836
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,1848,LAKELAND,Added,3528
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,02/28/2025,,,01/24/2025,STEPHEN MENZIES,,,,2023,JACKSONVILLE,Dropped,5141
