GTIN,Item ID,Item Description,SOS Type,Vendor,Vendor Name,,Warehouse,,,,,"POG Publishing 
Date",,,POG Finalization Date,Forecaster,,,Replenisher Name,Store Number ,Store Division ,Store Activity,Store ID
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1734,LAKELAND,Added,
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1742,LAKELAND,Added,
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1784,JACKSONVILLE,Added,
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1807,JACKSONVILLE,Added,
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1821,LAKELAND,Added,
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1896,JACKSONVILLE,Added,
86534000047,254824,ISLAND COASTAL LAGER,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,2023,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,402,MIAMI,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,648,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,735,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,814,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,857,JACKSONVILLE,Dropped,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,877,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,890,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1042,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1135,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1182,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1192,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1196,LAKELAND,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1289,JACKSONVILLE,Added,
86000752387,278689,ISLAND ACTIVE VARIETY PK,DSD,1493,PREMIER BEVERAGE COMPANY,,0,,,,,2/28/25,,,1/24/25,STEPHEN MENZIES,,,,1290,JACKSONVILLE,Added,
